"BehaviorSpace results (NetLogo 6.3.0)"
"practice-segregation.nlogo"
"experiment 1"
"02/04/2023 19:56:11:410 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","exact?","num-groups","similarity-threshold","[step]","average-similarity","prop-uniform"
"3","0.45","true","2","0.05","3","0.6552604802604807","0.2863247863247863"
"1","0.45","true","2","0.05","6","0.6257936507936508","0.21965811965811965"
"4","0.45","true","2","0.05","6","0.6323972323972326","0.24017094017094018"
"5","0.45","true","2","0.05","4","0.6306400081400084","0.2512820512820513"
"6","0.45","true","2","0.05","5","0.6278520553520556","0.23247863247863249"
"7","0.45","true","2","0.05","3","0.634308099308099","0.25213675213675213"
"8","0.45","true","2","0.05","5","0.6351505901505897","0.25555555555555554"
"9","0.45","true","2","0.05","4","0.6221642246642244","0.2222222222222222"
"10","0.45","true","2","0.05","4","0.6397232397232392","0.2512820512820513"
"11","0.45","true","2","0.1","4","0.6209533984533987","0.2341880341880342"
"12","0.45","true","2","0.1","3","0.6262851037851035","0.23162393162393163"
"2","0.45","true","2","0.05","3","0.6241768416768411","0.23675213675213674"
"13","0.45","true","2","0.1","5","0.6535470085470082","0.2794871794871795"
"14","0.45","true","2","0.1","4","0.6064153439153442","0.20854700854700856"
"16","0.45","true","2","0.1","4","0.6436039886039874","0.2547008547008547"
"17","0.45","true","2","0.1","4","0.6184096459096459","0.2230769230769231"
"18","0.45","true","2","0.1","4","0.6459737484737482","0.25726495726495724"
"19","0.45","true","2","0.1","7","0.635125152625152","0.22735042735042735"
"20","0.45","true","2","0.1","4","0.6186365486365485","0.2205128205128205"
"21","0.45","true","2","0.15","4","0.6299389499389505","0.23675213675213674"
"22","0.45","true","2","0.15","4","0.6282641432641429","0.2376068376068376"
"23","0.45","true","2","0.15","5","0.6468538868538863","0.2606837606837607"
"24","0.45","true","2","0.15","4","0.6450223850223837","0.26666666666666666"
"25","0.45","true","2","0.15","5","0.6361884411884414","0.24871794871794872"
"26","0.45","true","2","0.15","5","0.6228398453398449","0.21367521367521367"
"27","0.45","true","2","0.15","4","0.6362759462759459","0.2564102564102564"
