"BehaviorSpace results (NetLogo 6.3.0)"
"1-contagion SIR.nlogo"
"contagion batch 1"
"02/13/2023 21:12:42:603 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","recovery-rate","init-infected","speed","prop-safe","turning-angle","remove-recovered?","[step]","maximum-infection","maximum-infection-rate"
"7","50","0","0.1","0.01","1","1","0.1","360","true","49","1","0.02"
"12","50","0","0.1","0.01","1","1","0.2","360","true","65","1","0.02"
"11","50","0","0.1","0.01","1","1","0.2","360","true","43","1","0.02"
"14","50","0","0.1","0.01","1","1","0.2","360","true","14","1","0.02"
"1","50","0","0.1","0.01","1","1","0","360","true","52","1","0.02"
"10","50","0","0.1","0.01","1","1","0.1","360","true","72","1","0.02"
"17","50","0","0.1","0.01","1","1","0.3","360","true","16","1","0.02"
"15","50","0","0.1","0.01","1","1","0.2","360","true","20","1","0.02"
"13","50","0","0.1","0.01","1","1","0.2","360","true","91","2","0.04"
"8","50","0","0.1","0.01","1","1","0.1","360","true","89","1","0.02"
"21","50","0","0.1","0.01","1","1","0.4","360","true","75","1","0.02"
"19","50","0","0.1","0.01","1","1","0.3","360","true","139","1","0.02"
"6","50","0","0.1","0.01","1","1","0.1","360","true","144","2","0.04"
"25","50","0","0.1","0.01","1","1","0.4","360","true","1","0","0"
"22","50","0","0.1","0.01","1","1","0.4","360","true","124","1","0.02"
"23","50","0","0.1","0.01","1","1","0.4","360","true","183","1","0.02"
"28","50","0","0.1","0.01","1","1","0.5","360","true","10","1","0.02"
"29","50","0","0.1","0.01","1","1","0.5","360","true","2","1","0.02"
"27","50","0","0.1","0.01","1","1","0.5","360","true","82","1","0.02"
"16","50","0","0.1","0.01","1","1","0.3","360","true","287","1","0.02"
"32","50","0","0.1","0.01","1","1","0.6","360","true","7","1","0.02"
"33","50","0","0.1","0.01","1","1","0.6","360","true","13","1","0.02"
"9","50","0","0.1","0.01","1","1","0.1","360","true","295","2","0.04"
"4","50","0","0.1","0.01","1","1","0","360","true","211","4","0.08"
"31","50","0","0.1","0.01","1","1","0.6","360","true","95","2","0.04"
"37","50","0","0.1","0.01","1","1","0.7","360","true","11","1","0.02"
"34","50","0","0.1","0.01","1","1","0.6","360","true","35","1","0.02"
"38","50","0","0.1","0.01","1","1","0.7","360","true","9","1","0.02"
"35","50","0","0.1","0.01","1","1","0.6","360","true","64","2","0.04"
"2","50","0","0.1","0.01","1","1","0","360","true","618","8","0.16"
"42","50","0","0.1","0.01","1","1","0.8","360","true","11","1","0.02"
"41","50","0","0.1","0.01","1","1","0.8","360","true","59","1","0.02"
"39","50","0","0.1","0.01","1","1","0.7","360","true","41","1","0.02"
"30","50","0","0.1","0.01","1","1","0.5","360","true","157","1","0.02"
"45","50","0","0.1","0.01","1","1","0.8","360","true","17","2","0.04"
"46","50","0","0.1","0.01","1","1","0.9","360","true","47","1","0.02"
"43","50","0","0.1","0.01","1","1","0.8","360","true","81","1","0.02"
"26","50","0","0.1","0.01","1","1","0.5","360","true","187","2","0.04"
"18","50","0","0.1","0.01","1","1","0.3","360","true","421","3","0.06"
"40","50","0","0.1","0.01","1","1","0.7","360","true","182","2","0.04"
"51","50","0","0.1","0.01","1","1","1","360","true","45","2","0.04"
"53","50","0","0.1","0.01","1","1","1","360","true","3","1","0.02"
"52","50","0","0.1","0.01","1","1","1","360","true","60","1","0.02"
"3","50","0","0.1","0.01","1","1","0","360","true","572","9","0.18"
"48","50","0","0.1","0.01","1","1","0.9","360","true","175","1","0.02"
"5","50","0","0.1","0.01","1","1","0","360","true","872","4","0.08"
"50","50","0","0.1","0.01","1","1","0.9","360","true","44","1","0.02"
"54","50","0","0.1","0.01","1","1","1","360","true","89","1","0.02"
"55","50","0","0.1","0.01","1","1","1","360","true","66","1","0.02"
"20","50","0","0.1","0.01","1","1","0.3","360","true","656","3","0.06"
"44","50","0","0.1","0.01","1","1","0.8","360","true","256","2","0.04"
"47","50","0","0.1","0.01","1","1","0.9","360","true","331","2","0.04"
"49","50","0","0.1","0.01","1","1","0.9","360","true","290","3","0.06"
"36","50","0","0.1","0.01","1","1","0.7","360","true","297","2","0.04"
"64","200","0","0.1","0.01","1","1","0.1","360","true","32","2","0.01"
"24","50","0","0.1","0.01","1","1","0.4","360","true","676","2","0.04"
"58","200","0","0.1","0.01","1","1","0","360","true","778","92","0.46"
"57","200","0","0.1","0.01","1","1","0","360","true","551","97","0.485"
"70","200","0","0.1","0.01","1","1","0.2","360","true","6","1","0.005"
"67","200","0","0.1","0.01","1","1","0.2","360","true","734","77","0.385"
"56","200","0","0.1","0.01","1","1","0","360","true","731","84","0.42"
"73","200","0","0.1","0.01","1","1","0.3","360","true","10","1","0.005"
"59","200","0","0.1","0.01","1","1","0","360","true","686","97","0.485"
"65","200","0","0.1","0.01","1","1","0.1","360","true","799","90","0.45"
"61","200","0","0.1","0.01","1","1","0.1","360","true","880","74","0.37"
"60","200","0","0.1","0.01","1","1","0","360","true","761","70","0.35"
"76","200","0","0.1","0.01","1","1","0.4","360","true","17","1","0.005"
"69","200","0","0.1","0.01","1","1","0.2","360","true","797","80","0.4"
"80","200","0","0.1","0.01","1","1","0.4","360","true","43","1","0.005"
"68","200","0","0.1","0.01","1","1","0.2","360","true","793","59","0.295"
"63","200","0","0.1","0.01","1","1","0.1","360","true","873","75","0.375"
"71","200","0","0.1","0.01","1","1","0.3","360","true","812","60","0.3"
"62","200","0","0.1","0.01","1","1","0.1","360","true","931","61","0.305"
"82","200","0","0.1","0.01","1","1","0.5","360","true","100","3","0.015"
"84","200","0","0.1","0.01","1","1","0.5","360","true","86","1","0.005"
"87","200","0","0.1","0.01","1","1","0.6","360","true","40","1","0.005"
"72","200","0","0.1","0.01","1","1","0.3","360","true","726","42","0.21"
"86","200","0","0.1","0.01","1","1","0.6","360","true","113","2","0.01"
"66","200","0","0.1","0.01","1","1","0.2","360","true","998","53","0.265"
"78","200","0","0.1","0.01","1","1","0.4","360","true","757","36","0.18"
"74","200","0","0.1","0.01","1","1","0.3","360","true","1282","56","0.28"
"93","200","0","0.1","0.01","1","1","0.7","360","true","3","1","0.005"
"81","200","0","0.1","0.01","1","1","0.5","360","true","696","17","0.085"
"95","200","0","0.1","0.01","1","1","0.7","360","true","35","1","0.005"
"79","200","0","0.1","0.01","1","1","0.4","360","true","1034","43","0.215"
"75","200","0","0.1","0.01","1","1","0.3","360","true","957","51","0.255"
"96","200","0","0.1","0.01","1","1","0.8","360","true","46","1","0.005"
"94","200","0","0.1","0.01","1","1","0.7","360","true","136","2","0.01"
"85","200","0","0.1","0.01","1","1","0.5","360","true","1173","42","0.21"
"77","200","0","0.1","0.01","1","1","0.4","360","true","1076","27","0.135"
"102","200","0","0.1","0.01","1","1","0.9","360","true","21","1","0.005"
"101","200","0","0.1","0.01","1","1","0.9","360","true","56","1","0.005"
"98","200","0","0.1","0.01","1","1","0.8","360","true","203","2","0.01"
"105","200","0","0.1","0.01","1","1","0.9","360","true","16","1","0.005"
"88","200","0","0.1","0.01","1","1","0.6","360","true","1073","31","0.155"
"90","200","0","0.1","0.01","1","1","0.6","360","true","928","35","0.175"
