"BehaviorSpace results (NetLogo 6.3.0)"
"3-zombies!.nlogo"
"zombie batch"
"02/13/2023 22:33:56:765 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","spontaneous-infect","transmissibility","init-infected","zombie-speed","speed","zombie-death-rate","turning-angle","[step]","dead-zombies"
"12","300","0","0.2","3","0.1","0.6","0.2","60","4","3"
"9","300","0","0.2","3","0.1","0.6","0.1","60","22","10"
"5","300","0","0.2","3","0.1","0.6","0.1","60","4","3"
"14","300","0","0.2","3","0.1","0.6","0.2","60","8","5"
"11","300","0","0.2","3","0.1","0.6","0.2","60","9","5"
"16","300","0","0.2","3","0.1","0.6","0.2","60","4","3"
"17","300","0","0.2","3","0.1","0.6","0.2","60","14","5"
"2","300","0","0.2","3","0.1","0.6","0.1","60","40","10"
"20","300","0","0.2","3","0.1","0.6","0.2","60","6","4"
"4","300","0","0.2","3","0.1","0.6","0.1","60","56","17"
"7","300","0","0.2","3","0.1","0.6","0.1","60","77","53"
"23","300","0","0.2","3","0.1","0.6","0.3","60","2","4"
"13","300","0","0.2","3","0.1","0.6","0.2","60","14","6"
"22","300","0","0.2","3","0.1","0.6","0.3","60","3","3"
"10","300","0","0.2","3","0.1","0.6","0.1","60","31","13"
"24","300","0","0.2","3","0.1","0.6","0.3","60","5","3"
"19","300","0","0.2","3","0.1","0.6","0.2","60","24","7"
"18","300","0","0.2","3","0.1","0.6","0.2","60","35","19"
"25","300","0","0.2","3","0.1","0.6","0.3","60","5","3"
"26","300","0","0.2","3","0.1","0.6","0.3","60","4","3"
"29","300","0","0.2","3","0.1","0.6","0.3","60","2","3"
"27","300","0","0.2","3","0.1","0.6","0.3","60","7","5"
"31","300","0","0.2","3","0.1","0.6","0.4","60","8","10"
"33","300","0","0.2","3","0.1","0.6","0.4","60","4","5"
"28","300","0","0.2","3","0.1","0.6","0.3","60","12","11"
"30","300","0","0.2","3","0.1","0.6","0.3","60","7","6"
"32","300","0","0.2","3","0.1","0.6","0.4","60","5","5"
"35","300","0","0.2","3","0.1","0.6","0.4","60","2","3"
"21","300","0","0.2","3","0.1","0.6","0.3","60","14","3"
"40","300","0","0.2","3","0.1","0.6","0.4","60","2","3"
"15","300","0","0.2","3","0.1","0.6","0.2","60","27","8"
"34","300","0","0.2","3","0.1","0.6","0.4","60","9","4"
"36","300","0","0.2","3","0.1","0.6","0.4","60","5","5"
"41","300","0","0.2","3","0.1","0.6","0.5","60","4","7"
"37","300","0","0.2","3","0.1","0.6","0.4","60","6","3"
"42","300","0","0.2","3","0.1","0.6","0.5","60","3","4"
"44","300","0","0.2","3","0.1","0.6","0.5","60","1","3"
"3","300","0","0.2","3","0.1","0.6","0.1","60","48","12"
"43","300","0","0.2","3","0.1","0.6","0.5","60","3","3"
"38","300","0","0.2","3","0.1","0.6","0.4","60","7","4"
"45","300","0","0.2","3","0.1","0.6","0.5","60","1","3"
"39","300","0","0.2","3","0.1","0.6","0.4","60","7","3"
"50","300","0","0.2","3","0.1","0.6","0.5","60","1","3"
"47","300","0","0.2","3","0.1","0.6","0.5","60","2","4"
"52","300","0","0.2","3","0.1","0.6","0.6","60","1","3"
"48","300","0","0.2","3","0.1","0.6","0.5","60","4","3"
"49","300","0","0.2","3","0.1","0.6","0.5","60","3","4"
"55","300","0","0.2","3","0.1","0.6","0.6","60","1","3"
"51","300","0","0.2","3","0.1","0.6","0.6","60","4","3"
"54","300","0","0.2","3","0.1","0.6","0.6","60","4","5"
"8","300","0","0.2","3","0.1","0.6","0.1","60","68","41"
"57","300","0","0.2","3","0.1","0.6","0.6","60","3","3"
"59","300","0","0.2","3","0.1","0.6","0.6","60","2","4"
"53","300","0","0.2","3","0.1","0.6","0.6","60","4","6"
"56","300","0","0.2","3","0.1","0.6","0.6","60","3","4"
"46","300","0","0.2","3","0.1","0.6","0.5","60","6","5"
"58","300","0","0.2","3","0.1","0.6","0.6","60","3","5"
"63","300","0","0.2","3","0.1","0.6","0.7","60","1","5"
"60","300","0","0.2","3","0.1","0.6","0.6","60","3","4"
"66","300","0","0.2","3","0.1","0.6","0.7","60","1","4"
"68","300","0","0.2","3","0.1","0.6","0.7","60","1","4"
"64","300","0","0.2","3","0.1","0.6","0.7","60","2","4"
"61","300","0","0.2","3","0.1","0.6","0.7","60","2","3"
"71","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"65","300","0","0.2","3","0.1","0.6","0.7","60","3","3"
"69","300","0","0.2","3","0.1","0.6","0.7","60","2","3"
"72","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"74","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"73","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"62","300","0","0.2","3","0.1","0.6","0.7","60","3","3"
"76","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"67","300","0","0.2","3","0.1","0.6","0.7","60","3","3"
"77","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"79","300","0","0.2","3","0.1","0.6","0.8","60","1","3"
"75","300","0","0.2","3","0.1","0.6","0.8","60","2","4"
"81","300","0","0.2","3","0.1","0.6","0.9","60","1","3"
"80","300","0","0.2","3","0.1","0.6","0.8","60","1","4"
"82","300","0","0.2","3","0.1","0.6","0.9","60","1","3"
"83","300","0","0.2","3","0.1","0.6","0.9","60","1","3"
"70","300","0","0.2","3","0.1","0.6","0.7","60","4","4"
"84","300","0","0.2","3","0.1","0.6","0.9","60","1","3"
"85","300","0","0.2","3","0.1","0.6","0.9","60","1","4"
"88","300","0","0.2","3","0.1","0.6","0.9","60","1","4"
"90","300","0","0.2","3","0.1","0.6","0.9","60","1","4"
"89","300","0","0.2","3","0.1","0.6","0.9","60","1","3"
"86","300","0","0.2","3","0.1","0.6","0.9","60","2","4"
"78","300","0","0.2","3","0.1","0.6","0.8","60","2","3"
"87","300","0","0.2","3","0.1","0.6","0.9","60","2","3"
"95","300","0","0.2","3","0.25","0.6","0.1","60","8","6"
"93","300","0","0.2","3","0.25","0.6","0.1","60","12","5"
"1","300","0","0.2","3","0.1","0.6","0.1","60","62","13"
"101","300","0","0.2","3","0.25","0.6","0.2","60","16","6"
"102","300","0","0.2","3","0.25","0.6","0.2","60","12","8"
"99","300","0","0.2","3","0.25","0.6","0.1","60","24","7"
"96","300","0","0.2","3","0.25","0.6","0.1","60","28","15"
"104","300","0","0.2","3","0.25","0.6","0.2","60","8","4"
"98","300","0","0.2","3","0.25","0.6","0.1","60","33","13"
