"BehaviorSpace results (NetLogo 6.3.0)"
"2-opiniondynamics_BC.nlogo"
"experiment"
"02/21/2023 19:08:32:474 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","spatial-interactions?","confidence-threshold","learning-rate","[step]","num-cliques"
"12","true","0.2","0.5","25000","17"
"7","true","0.15","0.5","25000","22"
"11","true","0.2","0.5","25000","16"
"10","true","0.2","0.5","25000","16"
"9","true","0.15","0.5","25000","22"
"8","true","0.15","0.5","25000","22"
"13","true","0.25","0.5","25000","12"
"6","true","0.1","0.5","25000","34"
"5","true","0.1","0.5","25000","34"
"4","true","0.1","0.5","25000","34"
"14","true","0.25","0.5","25000","12"
"17","true","0.3","0.5","25000","10"
"15","true","0.25","0.5","25000","13"
"16","true","0.3","0.5","25000","10"
"18","true","0.3","0.5","25000","10"
"19","true","0.35","0.5","25000","8"
"23","true","0.4","0.5","25000","7"
"20","true","0.35","0.5","25000","8"
"22","true","0.4","0.5","25000","7"
"21","true","0.35","0.5","25000","9"
"25","true","0.45","0.5","25000","6"
"24","true","0.4","0.5","25000","7"
"28","true","0.5","0.5","25000","5"
"26","true","0.45","0.5","25000","6"
"2","true","0.05","0.5","25000","64"
"29","true","0.5","0.5","25000","5"
"3","true","0.05","0.5","25000","64"
"27","true","0.45","0.5","25000","6"
"31","true","0.55","0.5","25000","4"
"30","true","0.5","0.5","25000","5"
"35","true","0.6","0.5","25000","4"
"34","true","0.6","0.5","25000","4"
"33","true","0.55","0.5","25000","4"
"38","true","0.65","0.5","25000","3"
"32","true","0.55","0.5","25000","5"
"40","true","0.7","0.5","25000","1"
"37","true","0.65","0.5","25000","3"
"36","true","0.6","0.5","25000","4"
"39","true","0.65","0.5","25000","3"
"41","true","0.7","0.5","25000","2"
"42","true","0.7","0.5","25000","2"
"43","true","0.75","0.5","25000","1"
"44","true","0.75","0.5","25000","1"
"45","true","0.75","0.5","25000","1"
"1","true","0.05","0.5","25000","64"
"46","true","0.8","0.5","25000","1"
"47","true","0.8","0.5","25000","1"
"51","true","0.85","0.5","25000","1"
"49","true","0.85","0.5","25000","1"
"50","true","0.85","0.5","25000","1"
"48","true","0.8","0.5","25000","1"
"52","true","0.9","0.5","25000","1"
"54","true","0.9","0.5","25000","1"
"53","true","0.9","0.5","25000","1"
"58","true","1","0.5","25000","1"
"55","true","0.95","0.5","25000","1"
"56","true","0.95","0.5","25000","1"
"57","true","0.95","0.5","25000","1"
"60","true","1","0.5","25000","1"
"59","true","1","0.5","25000","1"
"67","false","0.15","0.5","25000","8"
"71","false","0.2","0.5","25000","6"
"68","false","0.15","0.5","25000","8"
"72","false","0.2","0.5","25000","5"
"69","false","0.15","0.5","25000","9"
"70","false","0.2","0.5","25000","6"
"65","false","0.1","0.5","25000","19"
"73","false","0.25","0.5","25000","5"
"64","false","0.1","0.5","25000","22"
"66","false","0.1","0.5","25000","19"
"74","false","0.25","0.5","25000","4"
"79","false","0.35","0.5","25000","3"
"75","false","0.25","0.5","25000","4"
"76","false","0.3","0.5","25000","4"
"77","false","0.3","0.5","25000","4"
"80","false","0.35","0.5","25000","3"
"78","false","0.3","0.5","25000","3"
"81","false","0.35","0.5","25000","3"
"82","false","0.4","0.5","25000","3"
"84","false","0.4","0.5","25000","3"
"83","false","0.4","0.5","25000","3"
"88","false","0.5","0.5","25000","2"
"85","false","0.45","0.5","25000","2"
"87","false","0.45","0.5","25000","2"
"86","false","0.45","0.5","25000","2"
"90","false","0.5","0.5","25000","1"
"89","false","0.5","0.5","25000","2"
"61","false","0.05","0.5","25000","46"
"63","false","0.05","0.5","25000","48"
"92","false","0.55","0.5","25000","1"
"91","false","0.55","0.5","25000","2"
"62","false","0.05","0.5","25000","44"
"94","false","0.6","0.5","25000","1"
"95","false","0.6","0.5","25000","1"
"96","false","0.6","0.5","25000","1"
"93","false","0.55","0.5","25000","2"
"97","false","0.65","0.5","25000","1"
"98","false","0.65","0.5","25000","1"
"100","false","0.7","0.5","25000","1"
"101","false","0.7","0.5","25000","1"
"102","false","0.7","0.5","25000","1"
"99","false","0.65","0.5","25000","1"
"103","false","0.75","0.5","25000","1"
"105","false","0.75","0.5","25000","1"
"104","false","0.75","0.5","25000","1"
"106","false","0.8","0.5","25000","1"
"108","false","0.8","0.5","25000","1"
"107","false","0.8","0.5","25000","1"
"109","false","0.85","0.5","25000","1"
"110","false","0.85","0.5","25000","1"
"113","false","0.9","0.5","25000","1"
"111","false","0.85","0.5","25000","1"
"112","false","0.9","0.5","25000","1"
"116","false","0.95","0.5","25000","1"
"115","false","0.95","0.5","25000","1"
"118","false","1","0.5","25000","1"
"117","false","0.95","0.5","25000","1"
"119","false","1","0.5","25000","1"
"114","false","0.9","0.5","25000","1"
"120","false","1","0.5","25000","1"
