"BehaviorSpace results (NetLogo 6.3.0)"
"3-opiniondynamics_multi.nlogo"
"experiment"
"02/20/2023 19:27:46:367 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","num-opinions","spatial-interactions?","distribution-range","[step]","polarization","extremism"
"6","2","false","0.2","1000","1.3158554572171729E-38","0"
"12","2","false","0.4","1000","3.875339111678246E-38","0"
"11","2","false","0.4","1000","8.7743791136581E-38","0"
"3","2","false","0.1","1000","2.984322334181339E-39","0"
"8","2","false","0.3","1000","6.968144513714417E-38","0"
"2","2","false","0.1","1000","5.972419872899133E-39","0"
"4","2","false","0.2","1000","4.6005203528136216E-38","0"
"10","2","false","0.4","1000","9.152937328741182E-37","0"
"5","2","false","0.2","1000","1.4533688660698388E-38","0"
"7","2","false","0.3","1000","6.140654399799899E-38","0"
"9","2","false","0.3","1000","1.881254109703599E-37","0"
"1","2","false","0.1","1000","1.3831152786888436E-38","0"
"13","2","false","0.5","1000","1.3229256643205843E-36","0"
"14","2","false","0.5","1000","7.947993424910426E-37","0"
"16","2","false","0.6","1000","9.154148872917984E-37","0"
"20","2","false","0.7","1000","2.7984937449380608E-36","0"
"15","2","false","0.5","1000","5.642185249895266E-37","0"
"19","2","false","0.7","1000","1.950650103385305E-36","0"
"18","2","false","0.6","1000","5.8642859094741704E-37","0"
"17","2","false","0.6","1000","1.9808583655393447E-37","0"
"22","2","false","0.8","1000","2.490454826481828E-36","0"
"23","2","false","0.8","1000","2.7976472881621946E-36","0"
"21","2","false","0.7","1000","2.4640866018454227E-37","0"
"24","2","false","0.8","1000","3.492940367022304E-36","0"
"25","2","false","0.9","1000","1.486044814901848E-36","0"
"27","2","false","0.9","1000","1.3026885481565603E-35","0"
"26","2","false","0.9","1000","2.7502422749346978E-36","0"
"28","2","false","1","1000","0.10317196915632597","1"
"29","2","false","1","1000","0.39884764669929484","1"
"32","2","true","0.1","1000","6.590564965214486E-26","0"
"31","2","true","0.1","1000","1.0609973100315408E-25","0"
"30","2","false","1","1000","0.18594238017762196","1"
"33","2","true","0.1","1000","9.37449521935792E-26","0"
"34","2","true","0.2","1000","2.9247550471417614E-25","0"
"35","2","true","0.2","1000","2.557917291462411E-25","0"
"36","2","true","0.2","1000","2.161921532735372E-25","0"
"37","2","true","0.3","1000","1.1323126471662118E-24","0"
"38","2","true","0.3","1000","1.4382310149738618E-24","0"
"39","2","true","0.3","1000","1.3494784052294143E-24","0"
"42","2","true","0.4","1000","1.4982827644275338E-24","0"
"43","2","true","0.5","1000","1.240667097960865E-23","0"
"41","2","true","0.4","1000","1.077617970305273E-24","0"
"40","2","true","0.4","1000","2.1715736714168118E-24","0"
"45","2","true","0.5","1000","8.445837219730921E-24","0"
"44","2","true","0.5","1000","5.098509754233952E-24","0"
"46","2","true","0.6","1000","2.0472718188070855E-23","0"
"47","2","true","0.6","1000","6.671578483208804E-24","0"
"48","2","true","0.6","1000","9.274462196811289E-24","0"
"49","2","true","0.7","1000","3.0699375911288726E-23","0"
"50","2","true","0.7","1000","2.240583356882531E-22","0"
"51","2","true","0.7","1000","2.1914019335339977E-23","0"
"52","2","true","0.8","1000","0.03805247306564075","0.048752834467120185"
"53","2","true","0.8","1000","0.057287010675616507","0.0873015873015873"
"54","2","true","0.8","1000","0.0700364277556486","0.3129251700680272"
"55","2","true","0.9","1000","0.44828804035198216","0.6666666666666666"
"56","2","true","0.9","1000","0.3637243074362314","0.6156462585034014"
"57","2","true","0.9","1000","0.38783024009195","0.7290249433106576"
"58","2","true","1","1000","0.48053976393623027","0.9013605442176871"
"59","2","true","1","1000","0.4554729012198911","0.9240362811791383"
"60","2","true","1","1000","0.462322379134133","0.8968253968253969"
