"BehaviorSpace results (NetLogo 6.3.0)"
"4-opiniondynamics_multi.nlogo"
"experiment"
"02/20/2023 20:21:26:306 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","progressive-random","num-opinions","prob-random","spatial-interactions?","[step]","extremism","polarization"
"3","false","4","0","true","1250","0.6247165532879818","0.2459228445766594"
"6","false","4","0.05","true","1250","0.3253968253968254","0.08979985640145148"
"4","false","4","0.05","true","1250","0.6054421768707483","0.2728510028074832"
"7","false","4","0.1","true","1250","0.786281179138322","0.2489153709007794"
"8","false","4","0.1","true","1250","0.9642857142857143","0.2388985744680673"
"5","false","4","0.05","true","1250","0.8900226757369615","0.48311948940673083"
"12","false","4","0.15","true","1250","1","0.11223318806901562"
"11","false","4","0.15","true","1250","0.7341269841269841","0.07988332827452699"
"10","false","4","0.15","true","1250","0.2755102040816326","0.04771026003563784"
"2","false","4","0","true","1250","0.6933106575963719","0.4987007293280803"
"9","false","4","0.1","true","1250","0.5328798185941043","0.0789781104704027"
"1","false","4","0","true","1250","0.8356009070294784","0.6010391576851155"
"13","false","4","0.2","true","1250","0.9926303854875284","0.12284785712878232"
"14","false","4","0.2","true","1250","0.7568027210884354","0.09246313132748259"
"17","false","4","0.25","true","1250","0.9835600907029478","0.13555961657108034"
"16","false","4","0.25","true","1250","0.9648526077097506","0.13573540564516642"
"15","false","4","0.2","true","1250","0.9778911564625851","0.20273063301094638"
"18","false","4","0.25","true","1250","0.9869614512471655","0.07995427602017804"
"19","false","4","0.3","true","1250","0.768140589569161","0.028112255160890318"
"21","false","4","0.3","true","1250","0","7.534160553072538E-36"
"20","false","4","0.3","true","1250","0.9841269841269841","0.0684462585393243"
