"BehaviorSpace results (NetLogo 6.3.0)"
"23-PD_reciprocity.nlogo"
"experiment"
"02/27/2023 18:19:29:847 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","cooperator-weight","probabilistic","num-iterations-high","num-iterations-low","payoff-benefit","mutation-prob","tft-mutation-weight","cooperator-mutation-weight","tft-weight","defector-weight","payoff-cost","defector-mutation-weight","randomization-prob","[step]","count turtles with [strategy = 0]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 1 or strategy = 2] / count turtles"
"9","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","73","125","763","0.9240374609781478"
"8","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","90","133","738","0.9063475546305931"
"10","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","131","124","706","0.8636836628511967"
"3","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","96","106","759","0.9001040582726326"
"5","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","92","138","731","0.9042663891779397"
"12","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","920","11","30","0.04266389177939646"
"1","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","116","106","739","0.8792924037460979"
"11","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","930","18","13","0.03225806451612903"
"6","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","101","112","748","0.894901144640999"
"4","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","109","117","735","0.886576482830385"
"2","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","113","147","701","0.882414151925078"
"7","0.6","false","5","5","1","0.05","1","1","1","0.1","0.6","1","0","100","74","119","768","0.922996878251821"
"13","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","925","15","21","0.037460978147762745"
"14","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","927","12","22","0.03537981269510926"
"16","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","926","14","21","0.036420395421436005"
"20","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","929","19","13","0.03329864724245578"
"15","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","929","15","17","0.03329864724245578"
"19","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","919","22","20","0.043704474505723206"
"18","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","916","27","18","0.046826222684703434"
"17","0.6","false","5","5","1","0.05","1","1","1","0.1","0.9","1","0","100","932","13","16","0.030176899063475548"
