"BehaviorSpace results (NetLogo 6.3.0)"
"2-coordination_simple.nlogo"
"experiment"
"03/04/2023 13:30:50:642 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","init-norm1","coordination-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"12","0.5","0.3","54","0"
"11","0.5","0.3","72","1"
"7","0.5","0.2","90","0"
"8","0.5","0.2","94","1"
"5","0.5","0.1","100","0.8220603537981269"
"4","0.5","0.1","93","0"
"13","0.5","0.4","37","0"
"9","0.5","0.2","83","1"
"6","0.5","0.1","82","0"
"2","0.5","0","100","0.627471383975026"
"10","0.5","0.3","95","0"
"3","0.5","0","100","0.3298647242455775"
"17","0.5","0.5","31","0"
"22","0.5","0.7","28","1"
"23","0.5","0.7","24","0"
"18","0.5","0.5","35","0"
"14","0.5","0.4","55","1"
"21","0.5","0.6","35","0"
"24","0.5","0.7","35","1"
"16","0.5","0.5","49","0"
"19","0.5","0.6","43","0"
"1","0.5","0","100","0.6253902185223725"
"20","0.5","0.6","47","1"
"29","0.5","0.9","20","0"
"25","0.5","0.8","27","0"
"27","0.5","0.8","29","0"
"30","0.5","0.9","24","1"
"33","0.5","1","15","1"
"28","0.5","0.9","31","1"
"35","0.5","1.1","21","0"
"26","0.5","0.8","36","0"
"32","0.5","1","26","0"
"37","0.5","1.2","16","1"
"34","0.5","1.1","22","1"
"39","0.5","1.2","17","0"
"36","0.5","1.1","21","0"
"31","0.5","1","36","1"
"40","0.5","1.3","16","1"
"44","0.5","1.4","12","1"
"45","0.5","1.4","12","1"
"43","0.5","1.4","17","0"
"42","0.5","1.3","19","1"
"41","0.5","1.3","24","1"
"38","0.5","1.2","27","0"
"48","0.5","1.5","12","0"
"49","0.5","1.6","14","1"
"47","0.5","1.5","14","1"
"46","0.5","1.5","14","1"
"50","0.5","1.6","13","1"
"15","0.5","0.4","65","0"
"51","0.5","1.6","13","0"
"55","0.5","1.8","11","0"
"53","0.5","1.7","13","1"
"56","0.5","1.8","13","0"
"57","0.5","1.8","11","1"
"54","0.5","1.7","15","0"
"52","0.5","1.7","16","1"
"62","0.5","2","9","0"
"58","0.5","1.9","12","0"
"59","0.5","1.9","15","0"
"60","0.5","1.9","12","0"
"63","0.5","2","12","0"
"61","0.5","2","17","1"
"65","0.5","2.1","12","0"
"66","0.5","2.1","11","1"
"64","0.5","2.1","17","1"
"69","0.5","2.2","12","0"
"67","0.5","2.2","14","0"
"71","0.5","2.3","12","1"
"72","0.5","2.3","9","1"
"74","0.5","2.4","9","0"
"70","0.5","2.3","13","0"
"76","0.5","2.5","10","0"
"75","0.5","2.4","11","0"
"68","0.5","2.2","21","1"
"78","0.5","2.5","9","1"
"73","0.5","2.4","12","0"
"82","0.5","2.7","8","0"
"81","0.5","2.6","9","0"
"80","0.5","2.6","11","1"
"83","0.5","2.7","9","1"
"79","0.5","2.6","12","1"
"84","0.5","2.7","9","0"
"77","0.5","2.5","15","1"
"86","0.5","2.8","7","0"
"85","0.5","2.8","8","1"
"87","0.5","2.8","9","1"
"88","0.5","2.9","9","1"
"91","0.5","3","8","0"
"96","0.5","3.1","7","1"
"90","0.5","2.9","9","0"
"94","0.5","3.1","8","1"
"98","0.5","3.2","7","0"
"93","0.5","3","9","1"
"97","0.5","3.2","8","1"
"92","0.5","3","10","1"
"95","0.5","3.1","10","1"
"100","0.5","3.3","6","1"
"89","0.5","2.9","13","1"
"99","0.5","3.2","9","0"
"105","0.5","3.4","7","0"
"101","0.5","3.3","9","0"
"109","0.5","3.6","6","1"
"108","0.5","3.5","7","0"
"103","0.5","3.4","9","1"
"106","0.5","3.5","7","0"
"107","0.5","3.5","8","0"
"104","0.5","3.4","9","1"
"102","0.5","3.3","10","0"
"111","0.5","3.6","6","1"
"112","0.5","3.7","7","1"
"113","0.5","3.7","6","1"
"117","0.5","3.8","7","0"
"118","0.5","3.9","7","0"
"119","0.5","3.9","7","0"
"114","0.5","3.7","8","1"
"120","0.5","3.9","7","0"
"121","0.5","4","7","1"
"110","0.5","3.6","13","0"
"115","0.5","3.8","9","0"
"116","0.5","3.8","8","0"
"124","0.5","4.1","8","1"
"123","0.5","4","9","1"
"126","0.5","4.1","7","1"
"130","0.5","4.3","6","1"
"128","0.5","4.2","7","0"
"125","0.5","4.1","8","0"
"127","0.5","4.2","8","0"
"122","0.5","4","10","0"
"129","0.5","4.2","8","0"
"133","0.5","4.4","7","0"
"134","0.5","4.4","5","1"
"131","0.5","4.3","8","0"
"132","0.5","4.3","9","0"
"135","0.5","4.4","6","1"
"138","0.5","4.5","6","1"
"137","0.5","4.5","6","1"
"139","0.5","4.6","7","0"
"144","0.5","4.7","6","1"
"140","0.5","4.6","6","0"
"145","0.5","4.8","6","1"
"136","0.5","4.5","9","1"
"141","0.5","4.6","6","0"
"142","0.5","4.7","7","0"
"143","0.5","4.7","7","0"
"146","0.5","4.8","8","1"
"147","0.5","4.8","9","0"
"148","0.5","4.9","7","1"
"152","0.5","5","6","1"
"151","0.5","5","5","0"
"150","0.5","4.9","7","1"
"153","0.5","5","8","0"
"149","0.5","4.9","9","1"
