"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"11","false","0.06","0.5","1","1","126","1"
"10","false","0.055","0.5","1","1","149","1"
"6","false","0.055","0.5","1","1","148","1"
"9","false","0.055","0.5","1","1","161","1"
"14","false","0.06","0.5","1","1","20","0"
"5","false","0.05","0.5","1","1","163","1"
"3","false","0.05","0.5","1","1","141","1"
"15","false","0.06","0.5","1","1","16","0"
"12","false","0.06","0.5","1","1","168","1"
"2","false","0.05","0.5","1","1","172","1"
"8","false","0.055","0.5","1","1","174","1"
"7","false","0.055","0.5","1","1","197","1"
"4","false","0.05","0.5","1","1","191","1"
"13","false","0.06","0.5","1","1","133","1"
"1","false","0.05","0.5","1","1","201","1"
"18","false","0.065","0.5","1","1","126","1"
"16","false","0.065","0.5","1","1","144","1"
"17","false","0.065","0.5","1","1","144","1"
"21","false","0.07","0.5","1","1","116","1"
"20","false","0.065","0.5","1","1","131","1"
"30","false","0.075","0.5","1","1","16","0"
"22","false","0.07","0.5","1","1","149","1"
"24","false","0.07","0.5","1","1","116","1"
"23","false","0.07","0.5","1","1","128","1"
"19","false","0.065","0.5","1","1","172","1"
"34","false","0.08","0.5","1","1","14","0"
"25","false","0.07","0.5","1","1","119","1"
"29","false","0.075","0.5","1","1","118","1"
"26","false","0.075","0.5","1","1","165","1"
"31","false","0.08","0.5","1","1","145","1"
"28","false","0.075","0.5","1","1","151","1"
"27","false","0.075","0.5","1","1","139","1"
"37","false","0.085","0.5","1","1","113","1"
"35","false","0.08","0.5","1","1","132","1"
"39","false","0.085","0.5","1","1","119","1"
"36","false","0.085","0.5","1","1","137","1"
"32","false","0.08","0.5","1","1","183","1"
"33","false","0.08","0.5","1","1","186","1"
"41","false","0.09","0.5","1","1","99","1"
"40","false","0.085","0.5","1","1","141","1"
"38","false","0.085","0.5","1","1","207","1"
"43","false","0.09","0.5","1","1","133","1"
"47","false","0.095","0.5","1","1","108","1"
"48","false","0.095","0.5","1","1","110","1"
"49","false","0.095","0.5","1","1","104","1"
"42","false","0.09","0.5","1","1","151","1"
"45","false","0.09","0.5","1","1","142","1"
"50","false","0.095","0.5","1","1","112","1"
"46","false","0.095","0.5","1","1","158","1"
"51","false","0.1","0.5","1","1","108","1"
"44","false","0.09","0.5","1","1","170","1"
"53","false","0.1","0.5","1","1","123","1"
"55","false","0.1","0.5","1","1","96","1"
"59","false","0.105","0.5","1","1","94","1"
"56","false","0.105","0.5","1","1","127","1"
"57","false","0.105","0.5","1","1","121","1"
"52","false","0.1","0.5","1","1","175","1"
"54","false","0.1","0.5","1","1","143","1"
"60","false","0.105","0.5","1","1","121","1"
"58","false","0.105","0.5","1","1","139","1"
"62","false","0.11","0.5","1","1","112","1"
"63","false","0.11","0.5","1","1","97","1"
"61","false","0.11","0.5","1","1","158","1"
"64","false","0.11","0.5","1","1","115","1"
"66","false","0.115","0.5","1","1","105","1"
"68","false","0.115","0.5","1","1","98","1"
"65","false","0.11","0.5","1","1","149","1"
"69","false","0.115","0.5","1","1","122","1"
"67","false","0.115","0.5","1","1","131","1"
"70","false","0.115","0.5","1","1","120","1"
"71","false","0.12","0.5","1","1","128","1"
"72","false","0.12","0.5","1","1","132","1"
"74","false","0.12","0.5","1","1","93","1"
"75","false","0.12","0.5","1","1","109","1"
"77","false","0.125","0.5","1","1","113","1"
"73","false","0.12","0.5","1","1","160","1"
"76","false","0.125","0.5","1","1","152","1"
"79","false","0.125","0.5","1","1","104","1"
