"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment"
"03/04/2023 15:34:14:152 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"6","true","0.255","0.5","1","1","18","0"
"4","true","0.25","0.5","1","1","17","0"
"7","true","0.255","0.5","1","1","32","0"
"3","true","0.25","0.5","1","1","21","0"
"8","true","0.255","0.5","1","1","23","0"
"9","true","0.255","0.5","1","1","30","0"
"2","true","0.25","0.5","1","1","29","0"
"10","true","0.255","0.5","1","1","30","0"
"13","true","0.26","0.5","1","1","27","0"
"5","true","0.25","0.5","1","1","25","0"
"11","true","0.26","0.5","1","1","29","0"
"14","true","0.26","0.5","1","1","20","0"
"12","true","0.26","0.5","1","1","41","0"
"1","true","0.25","0.5","1","1","28","0"
"16","true","0.265","0.5","1","1","18","0"
"15","true","0.26","0.5","1","1","24","0"
"19","true","0.265","0.5","1","1","20","0"
"17","true","0.265","0.5","1","1","25","0"
"20","true","0.265","0.5","1","1","19","0"
"21","true","0.27","0.5","1","1","27","0"
"18","true","0.265","0.5","1","1","29","0"
"25","true","0.27","0.5","1","1","22","0"
"23","true","0.27","0.5","1","1","28","0"
"22","true","0.27","0.5","1","1","27","0"
"27","true","0.275","0.5","1","1","29","0"
"31","true","0.28","0.5","1","1","22","0"
"26","true","0.275","0.5","1","1","25","0"
"29","true","0.275","0.5","1","1","25","0"
"30","true","0.275","0.5","1","1","24","0"
"24","true","0.27","0.5","1","1","37","0"
"32","true","0.28","0.5","1","1","27","0"
"35","true","0.28","0.5","1","1","23","0"
"36","true","0.285","0.5","1","1","22","0"
"33","true","0.28","0.5","1","1","26","0"
"28","true","0.275","0.5","1","1","47","0"
"41","true","0.29","0.5","1","1","19","0"
"38","true","0.285","0.5","1","1","26","0"
"43","true","0.29","0.5","1","1","18","0"
"40","true","0.285","0.5","1","1","30","0"
"37","true","0.285","0.5","1","1","38","0"
"34","true","0.28","0.5","1","1","44","0"
"44","true","0.29","0.5","1","1","23","0"
"47","true","0.295","0.5","1","1","18","0"
"39","true","0.285","0.5","1","1","30","0"
