"BehaviorSpace results (NetLogo 6.3.0)"
"coordination_divisionoflabor.nlogo"
"experiment a"
"03/04/2023 16:35:35:088 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","19"
"[run number]","prob-outgroup-observation","norm1-share","prob-outgroup-interaction","init-norm1-groupA","surplus-benefit","init-norm1-groupB","[step]","freq-norm1-groupA","freq-norm1-groupB"
"8","0","0.7","0.9","0.6","7","0.4","200","1","0"
"9","0","0.7","0.9","0.6","7","0.4","200","1","0"
"6","0","0.7","0.9","0.6","7","0.4","200","1","0"
"12","0.02","0.7","0.9","0.6","7","0.4","200","1","0.035"
"7","0","0.7","0.9","0.6","7","0.4","200","1","0"
"10","0","0.7","0.9","0.6","7","0.4","200","1","0"
"11","0.02","0.7","0.9","0.6","7","0.4","200","1","0.0275"
"3","0","0.7","0.9","0.6","7","0.4","200","1","0"
"4","0","0.7","0.9","0.6","7","0.4","200","1","0"
"5","0","0.7","0.9","0.6","7","0.4","200","1","0"
"2","0","0.7","0.9","0.6","7","0.4","200","1","0"
"1","0","0.7","0.9","0.6","7","0.4","200","1","0"
"13","0.02","0.7","0.9","0.6","7","0.4","200","1","0.03"
"15","0.02","0.7","0.9","0.6","7","0.4","200","1","0.0375"
"14","0.02","0.7","0.9","0.6","7","0.4","200","0.9975","0.0275"
"16","0.02","0.7","0.9","0.6","7","0.4","200","0.9925","0.03"
"18","0.02","0.7","0.9","0.6","7","0.4","200","0.995","0.035"
"17","0.02","0.7","0.9","0.6","7","0.4","200","0.9925","0.03"
"19","0.02","0.7","0.9","0.6","7","0.4","200","1","0.045"
"20","0.02","0.7","0.9","0.6","7","0.4","200","1","0.0325"
"23","0.04","0.7","0.9","0.6","7","0.4","200","0.9925","0.0525"
"21","0.04","0.7","0.9","0.6","7","0.4","200","1","0.095"
"22","0.04","0.7","0.9","0.6","7","0.4","200","0.9875","0.085"
"24","0.04","0.7","0.9","0.6","7","0.4","200","0.995","0.0825"
"26","0.04","0.7","0.9","0.6","7","0.4","200","0.99","0.0775"
"25","0.04","0.7","0.9","0.6","7","0.4","200","1","0.0825"
"27","0.04","0.7","0.9","0.6","7","0.4","200","0.9825","0.055"
"28","0.04","0.7","0.9","0.6","7","0.4","200","0.9975","0.055"
"29","0.04","0.7","0.9","0.6","7","0.4","200","0.9975","0.0725"
"31","0.06","0.7","0.9","0.6","7","0.4","200","0.9975","0.11"
"30","0.04","0.7","0.9","0.6","7","0.4","200","0.99","0.0725"
"32","0.06","0.7","0.9","0.6","7","0.4","200","0.99","0.1275"
"33","0.06","0.7","0.9","0.6","7","0.4","200","0.9825","0.105"
"34","0.06","0.7","0.9","0.6","7","0.4","200","0.99","0.12"
"35","0.06","0.7","0.9","0.6","7","0.4","200","0.975","0.1125"
"36","0.06","0.7","0.9","0.6","7","0.4","200","0.9925","0.1"
"38","0.06","0.7","0.9","0.6","7","0.4","200","0.995","0.11"
"37","0.06","0.7","0.9","0.6","7","0.4","200","0.99","0.1125"
"40","0.06","0.7","0.9","0.6","7","0.4","200","0.9875","0.0975"
"39","0.06","0.7","0.9","0.6","7","0.4","200","0.995","0.095"
"41","0.08","0.7","0.9","0.6","7","0.4","200","0.995","0.15"
"42","0.08","0.7","0.9","0.6","7","0.4","200","0.9775","0.1775"
"43","0.08","0.7","0.9","0.6","7","0.4","200","0.9875","0.1425"
"45","0.08","0.7","0.9","0.6","7","0.4","200","0.9925","0.14"
"44","0.08","0.7","0.9","0.6","7","0.4","200","0.9825","0.16"
