"BehaviorSpace results (NetLogo 6.3.0)"
"science_pub-bias.nlogo"
"experiment 1"
"03/12/2023 17:00:42:517 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-1","1"
"[run number]","false-positive-rate","power","canonization-threshold","true-hypothesis?","initial-prior","pub-bias","[step]","prob-true"
"4","0.05","0.8","0.99","true","0.05","0.025","6","0.9935012577752301"
"8","0.05","0.8","0.99","true","0.05","0.025","8","0.9980618295715512"
"14","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"2","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"15","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"17","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"16","0.05","0.8","0.99","true","0.05","0.025","6","0.9935012577752301"
"18","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"5","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"13","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"10","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"19","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"20","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"22","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"21","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"24","0.05","0.8","0.99","true","0.05","0.05","5","0.9986247880992742"
"23","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"25","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"28","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"9","0.05","0.8","0.99","true","0.05","0.025","6","0.9935012577752301"
"30","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"29","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"33","0.05","0.8","0.99","true","0.05","0.05","5","0.9986247880992742"
"34","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"35","0.05","0.8","0.99","true","0.05","0.05","5","0.9986247880992742"
"36","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"26","0.05","0.8","0.99","true","0.05","0.05","6","0.9935012577752301"
"37","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"38","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"39","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"41","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"40","0.05","0.8","0.99","true","0.05","0.05","5","0.9986247880992742"
"43","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"44","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"31","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"7","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"27","0.05","0.8","0.99","true","0.05","0.05","5","0.9986247880992742"
"42","0.05","0.8","0.99","true","0.05","0.2","8","0.9980618295715512"
"45","0.05","0.8","0.99","true","0.05","0.2","6","0.9935012577752301"
"46","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"32","0.05","0.8","0.99","true","0.05","0.05","3","0.9953827460510327"
"51","0.05","0.8","0.99","true","0.05","0.2","4","0.9953827460510327"
"52","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"49","0.05","0.8","0.99","true","0.05","0.2","6","0.9935012577752301"
"54","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"48","0.05","0.8","0.99","true","0.05","0.2","3","0.002327272727272726"
"57","0.05","0.8","0.99","true","0.05","0.2","5","0.9986247880992742"
"50","0.05","0.8","0.99","true","0.05","0.2","6","0.9935012577752301"
"55","0.05","0.8","0.99","true","0.05","0.2","5","0.9986247880992742"
"53","0.05","0.8","0.99","true","0.05","0.2","5","0.9986247880992742"
"56","0.05","0.8","0.99","true","0.05","0.2","2","0.002327272727272726"
"58","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"47","0.05","0.8","0.99","true","0.05","0.2","7","0.9935012577752301"
"59","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"61","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"60","0.05","0.8","0.99","true","0.05","0.2","3","0.9953827460510327"
"63","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"66","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"6","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"67","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"3","0.05","0.8","0.99","true","0.05","0.025","3","0.9953827460510327"
"70","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"69","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"62","0.05","0.8","0.99","true","0.05","0.4","6","0.9935012577752301"
"71","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"68","0.05","0.8","0.99","true","0.05","0.4","5","0.9953827460510327"
"64","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"74","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"72","0.05","0.8","0.99","true","0.05","0.4","6","0.9935012577752301"
"73","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"78","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"11","0.05","0.8","0.99","true","0.05","0.025","5","0.9986247880992742"
"65","0.05","0.8","0.99","true","0.05","0.4","6","0.9986247880992742"
"81","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"80","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"12","0.05","0.8","0.99","true","0.05","0.025","8","0.9980618295715512"
"79","0.05","0.8","0.99","true","0.05","0.4","3","0.9953827460510327"
"82","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"75","0.05","0.8","0.99","true","0.05","0.4","6","0.9935012577752301"
"77","0.05","0.8","0.99","true","0.05","0.4","5","0.9986247880992742"
"86","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"83","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"84","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"89","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"85","0.05","0.8","0.99","true","0.075","0.025","5","0.9991068876368094"
"90","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"93","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"76","0.05","0.8","0.99","true","0.05","0.4","9","0.9908601203813546"
"92","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"87","0.05","0.8","0.99","true","0.075","0.025","5","0.9991068876368094"
"88","0.05","0.8","0.99","true","0.075","0.025","6","0.995771876983367"
"94","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"96","0.05","0.8","0.99","true","0.075","0.025","2","0.0035807534502051456"
"97","0.05","0.8","0.99","true","0.075","0.025","5","0.9991068876368094"
"99","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"95","0.05","0.8","0.99","true","0.075","0.025","5","0.9991068876368094"
"98","0.05","0.8","0.99","true","0.075","0.025","7","0.008510975860449901"
"91","0.05","0.8","0.99","true","0.075","0.025","3","0.9969979716024342"
"102","0.05","0.8","0.99","true","0.075","0.05","3","0.9969979716024342"
"104","0.05","0.8","0.99","true","0.075","0.05","3","0.9969979716024342"
"101","0.05","0.8","0.99","true","0.075","0.05","3","0.9969979716024342"
"105","0.05","0.8","0.99","true","0.075","0.05","3","0.9969979716024342"
