"BehaviorSpace results (NetLogo 6.3.0)"
"3-SmallWorldDiffusion.nlogo"
"experiment 1"
"03/19/2023 17:41:55:179 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","prob-spread-one","rewiring-probability","num-nodes","complex-contagion?","prob-infection","[step]","num-infected"
"2","0.001","0.001","100","true","0.1","28","100"
"4","0.001","0.001","100","true","0.1","29","100"
"8","0.001","0.001","100","true","0.1","31","100"
"9","0.001","0.001","100","true","0.1","28","100"
"11","0.001","0.001","100","true","0.1","34","100"
"7","0.001","0.001","100","true","0.1","27","100"
"3","0.001","0.001","100","true","0.1","28","100"
"6","0.001","0.001","100","true","0.1","28","100"
"10","0.001","0.001","100","true","0.1","28","100"
"12","0.001","0.001","100","true","0.1","27","100"
"5","0.001","0.001","100","true","0.1","27","100"
"13","0.001","0.001","100","true","0.1","28","100"
"14","0.001","0.001","100","true","0.1","28","100"
"15","0.001","0.001","100","true","0.1","28","100"
"17","0.001","0.001","100","true","0.1","29","100"
"16","0.001","0.001","100","true","0.1","30","100"
"18","0.001","0.001","100","true","0.1","30","100"
"19","0.001","0.001","100","true","0.1","30","100"
"20","0.001","0.001","100","true","0.1","29","100"
"25","0.001","0.001","100","true","0.1","27","100"
"27","0.001","0.001","100","true","0.1","27","100"
"24","0.001","0.001","100","true","0.1","26","100"
"26","0.001","0.001","100","true","0.1","29","100"
"21","0.001","0.001","100","true","0.1","28","100"
"29","0.001","0.001","100","true","0.1","27","100"
"31","0.001","0.001","100","true","0.1","28","100"
"22","0.001","0.001","100","true","0.1","29","100"
"32","0.001","0.001","100","true","0.1","33","100"
"23","0.001","0.001","100","true","0.1","29","100"
"28","0.001","0.001","100","true","0.1","30","100"
"35","0.001","0.001","100","true","0.1","28","100"
"34","0.001","0.001","100","true","0.1","27","100"
"30","0.001","0.001","100","true","0.1","54","100"
"38","0.001","0.001","100","true","0.1","29","100"
"37","0.001","0.001","100","true","0.1","29","100"
"40","0.001","0.001","100","true","0.1","29","100"
"33","0.001","0.001","100","true","0.1","28","100"
"43","0.001","0.001","100","true","0.1","27","100"
"44","0.001","0.001","100","true","0.1","27","100"
"36","0.001","0.001","100","true","0.1","28","100"
"45","0.001","0.001","100","true","0.1","28","100"
"46","0.001","0.001","100","true","0.1","28","100"
"47","0.001","0.001","100","true","0.1","28","100"
"39","0.001","0.001","100","true","0.1","28","100"
"42","0.001","0.001","100","true","0.1","28","100"
"48","0.001","0.001","100","true","0.1","29","100"
"41","0.001","0.001","100","true","0.1","30","100"
"51","0.001","0.001","100","true","0.1","35","100"
"53","0.001","0.001","100","true","0.1","29","100"
"50","0.001","0.001","100","true","0.1","49","100"
"54","0.001","0.001","100","true","0.1","28","100"
"57","0.001","0.001","100","true","0.1","29","100"
"49","0.001","0.001","100","true","0.1","29","100"
"52","0.001","0.001","100","true","0.1","26","100"
"60","0.001","0.001","100","true","0.1","29","100"
"62","0.001","0.001","100","true","0.1","28","100"
"63","0.001","0.001","100","true","0.1","28","100"
"61","0.001","0.001","100","true","0.1","38","100"
"59","0.001","0.001","100","true","0.1","30","100"
"56","0.001","0.001","100","true","0.1","27","100"
"64","0.001","0.001","100","true","0.1","39","100"
"58","0.001","0.001","100","true","0.1","29","100"
"67","0.001","0.001","100","true","0.1","30","100"
"69","0.001","0.001","100","true","0.1","28","100"
"70","0.001","0.001","100","true","0.1","29","100"
"68","0.001","0.001","100","true","0.1","50","100"
"65","0.001","0.001","100","true","0.1","28","100"
"73","0.001","0.001","100","true","0.1","28","100"
"75","0.001","0.001","100","true","0.1","29","100"
"76","0.001","0.001","100","true","0.1","28","100"
"77","0.001","0.001","100","true","0.1","28","100"
"78","0.001","0.001","100","true","0.1","27","100"
"80","0.001","0.001","100","true","0.1","29","100"
"71","0.001","0.001","100","true","0.1","28","100"
"74","0.001","0.001","100","true","0.1","28","100"
"81","0.001","0.001","100","true","0.1","28","100"
"82","0.001","0.001","100","true","0.1","28","100"
"66","0.001","0.001","100","true","0.1","41","100"
"83","0.001","0.001","100","true","0.1","28","100"
"72","0.001","0.001","100","true","0.1","29","100"
"84","0.001","0.001","100","true","0.1","28","100"
"85","0.001","0.001","100","true","0.1","28","100"
"79","0.001","0.001","100","true","0.1","28","100"
"89","0.001","0.001","100","true","0.1","29","100"
"88","0.001","0.001","100","true","0.1","28","100"
"86","0.001","0.001","100","true","0.1","28","100"
"90","0.001","0.001","100","true","0.1","29","100"
"94","0.001","0.001","100","true","0.1","28","100"
"93","0.001","0.001","100","true","0.1","28","100"
"87","0.001","0.001","100","true","0.1","28","100"
"97","0.001","0.001","100","true","0.1","27","100"
"96","0.001","0.001","100","true","0.1","28","100"
"100","0.001","0.001","100","true","0.1","29","100"
"99","0.001","0.001","100","true","0.1","28","100"
"95","0.001","0.001","100","true","0.1","29","100"
"91","0.001","0.001","100","true","0.1","28","100"
"92","0.001","0.001","100","true","0.1","28","100"
"101","0.001","0.01","100","true","0.1","52","100"
"105","0.001","0.01","100","true","0.1","29","100"
"106","0.001","0.01","100","true","0.1","30","100"
"111","0.001","0.01","100","true","0.1","27","100"
"109","0.001","0.01","100","true","0.1","43","100"
"98","0.001","0.001","100","true","0.1","51","100"
"107","0.001","0.01","100","true","0.1","28","100"
"110","0.001","0.01","100","true","0.1","38","100"
"113","0.001","0.01","100","true","0.1","31","100"
"104","0.001","0.01","100","true","0.1","116","100"
"114","0.001","0.01","100","true","0.1","52","100"
"118","0.001","0.01","100","true","0.1","45","100"
"119","0.001","0.01","100","true","0.1","29","100"
"120","0.001","0.01","100","true","0.1","30","100"
"108","0.001","0.01","100","true","0.1","90","100"
"115","0.001","0.01","100","true","0.1","33","100"
"121","0.001","0.01","100","true","0.1","39","100"
"122","0.001","0.01","100","true","0.1","40","100"
"117","0.001","0.01","100","true","0.1","43","100"
"126","0.001","0.01","100","true","0.1","28","100"
"55","0.001","0.001","100","true","0.1","799","100"
"125","0.001","0.01","100","true","0.1","29","100"
"129","0.001","0.01","100","true","0.1","29","100"
"127","0.001","0.01","100","true","0.1","38","100"
"123","0.001","0.01","100","true","0.1","146","100"
"124","0.001","0.01","100","true","0.1","40","100"
"130","0.001","0.01","100","true","0.1","37","100"
"134","0.001","0.01","100","true","0.1","29","100"
"128","0.001","0.01","100","true","0.1","28","100"
"137","0.001","0.01","100","true","0.1","28","100"
"136","0.001","0.01","100","true","0.1","29","100"
"140","0.001","0.01","100","true","0.1","27","100"
"139","0.001","0.01","100","true","0.1","52","100"
"138","0.001","0.01","100","true","0.1","27","100"
"142","0.001","0.01","100","true","0.1","29","100"
"103","0.001","0.01","100","true","0.1","612","100"
"141","0.001","0.01","100","true","0.1","44","100"
"143","0.001","0.01","100","true","0.1","30","100"
"145","0.001","0.01","100","true","0.1","42","100"
"146","0.001","0.01","100","true","0.1","86","100"
"116","0.001","0.01","100","true","0.1","265","100"
"148","0.001","0.01","100","true","0.1","29","100"
"149","0.001","0.01","100","true","0.1","53","100"
"147","0.001","0.01","100","true","0.1","40","100"
"151","0.001","0.01","100","true","0.1","50","100"
"150","0.001","0.01","100","true","0.1","35","100"
"135","0.001","0.01","100","true","0.1","140","100"
"112","0.001","0.01","100","true","0.1","796","100"
"133","0.001","0.01","100","true","0.1","565","100"
"157","0.001","0.01","100","true","0.1","29","100"
"102","0.001","0.01","100","true","0.1","347","100"
"155","0.001","0.01","100","true","0.1","29","100"
"153","0.001","0.01","100","true","0.1","40","100"
"158","0.001","0.01","100","true","0.1","39","100"
"152","0.001","0.01","100","true","0.1","210","100"
"156","0.001","0.01","100","true","0.1","73","100"
"163","0.001","0.01","100","true","0.1","37","100"
"164","0.001","0.01","100","true","0.1","45","100"
"162","0.001","0.01","100","true","0.1","29","100"
"161","0.001","0.01","100","true","0.1","38","100"
"159","0.001","0.01","100","true","0.1","103","100"
"168","0.001","0.01","100","true","0.1","28","100"
"166","0.001","0.01","100","true","0.1","78","100"
"170","0.001","0.01","100","true","0.1","48","100"
"144","0.001","0.01","100","true","0.1","680","100"
"169","0.001","0.01","100","true","0.1","53","100"
"172","0.001","0.01","100","true","0.1","43","100"
"171","0.001","0.01","100","true","0.1","34","100"
"173","0.001","0.01","100","true","0.1","32","100"
"174","0.001","0.01","100","true","0.1","35","100"
"160","0.001","0.01","100","true","0.1","187","100"
"179","0.001","0.01","100","true","0.1","43","100"
"178","0.001","0.01","100","true","0.1","45","100"
"177","0.001","0.01","100","true","0.1","49","100"
"181","0.001","0.01","100","true","0.1","41","100"
"176","0.001","0.01","100","true","0.1","223","100"
"184","0.001","0.01","100","true","0.1","82","100"
"185","0.001","0.01","100","true","0.1","36","100"
"186","0.001","0.01","100","true","0.1","28","100"
"131","0.001","0.01","100","true","0.1","532","100"
"180","0.001","0.01","100","true","0.1","263","100"
"190","0.001","0.01","100","true","0.1","29","100"
"165","0.001","0.01","100","true","0.1","441","100"
"189","0.001","0.01","100","true","0.1","28","100"
"167","0.001","0.01","100","true","0.1","657","100"
"191","0.001","0.01","100","true","0.1","36","100"
"194","0.001","0.01","100","true","0.1","39","100"
"193","0.001","0.01","100","true","0.1","40","100"
"175","0.001","0.01","100","true","0.1","327","100"
"196","0.001","0.01","100","true","0.1","27","100"
"199","0.001","0.01","100","true","0.1","59","100"
"183","0.001","0.01","100","true","0.1","420","100"
"197","0.001","0.01","100","true","0.1","39","100"
"188","0.001","0.01","100","true","0.1","378","100"
"198","0.001","0.01","100","true","0.1","43","100"
"200","0.001","0.01","100","true","0.1","29","100"
"195","0.001","0.01","100","true","0.1","214","100"
"192","0.001","0.01","100","true","0.1","310","100"
"182","0.001","0.01","100","true","0.1","430","100"
"187","0.001","0.01","100","true","0.1","768","100"
"154","0.001","0.01","100","true","0.1","1943","100"
"203","0.001","0.1","100","true","0.1","518","100"
"132","0.001","0.01","100","true","0.1","2589","100"
"206","0.001","0.1","100","true","0.1","442","100"
"207","0.001","0.1","100","true","0.1","453","100"
"201","0.001","0.1","100","true","0.1","744","100"
"205","0.001","0.1","100","true","0.1","417","100"
"208","0.001","0.1","100","true","0.1","768","100"
"211","0.001","0.1","100","true","0.1","491","100"
"212","0.001","0.1","100","true","0.1","825","100"
"209","0.001","0.1","100","true","0.1","595","100"
"215","0.001","0.1","100","true","0.1","162","100"
"204","0.001","0.1","100","true","0.1","740","100"
"202","0.001","0.1","100","true","0.1","612","100"
"222","0.001","0.1","100","true","0.1","379","100"
"219","0.001","0.1","100","true","0.1","938","100"
"214","0.001","0.1","100","true","0.1","840","100"
"220","0.001","0.1","100","true","0.1","634","100"
"225","0.001","0.1","100","true","0.1","536","100"
"217","0.001","0.1","100","true","0.1","846","100"
"224","0.001","0.1","100","true","0.1","1024","100"
"218","0.001","0.1","100","true","0.1","1176","100"
"210","0.001","0.1","100","true","0.1","2191","100"
"226","0.001","0.1","100","true","0.1","452","100"
"227","0.001","0.1","100","true","0.1","976","100"
"231","0.001","0.1","100","true","0.1","893","100"
"213","0.001","0.1","100","true","0.1","1755","100"
"228","0.001","0.1","100","true","0.1","1389","100"
"230","0.001","0.1","100","true","0.1","1365","100"
"232","0.001","0.1","100","true","0.1","911","100"
"229","0.001","0.1","100","true","0.1","1163","100"
"235","0.001","0.1","100","true","0.1","440","100"
"236","0.001","0.1","100","true","0.1","311","100"
"233","0.001","0.1","100","true","0.1","836","100"
"221","0.001","0.1","100","true","0.1","1127","100"
"242","0.001","0.1","100","true","0.1","204","100"
"239","0.001","0.1","100","true","0.1","783","100"
"240","0.001","0.1","100","true","0.1","614","100"
"234","0.001","0.1","100","true","0.1","1630","100"
"216","0.001","0.1","100","true","0.1","1160","100"
"247","0.001","0.1","100","true","0.1","481","100"
"241","0.001","0.1","100","true","0.1","1320","100"
"246","0.001","0.1","100","true","0.1","570","100"
"248","0.001","0.1","100","true","0.1","457","100"
"245","0.001","0.1","100","true","0.1","515","100"
"250","0.001","0.1","100","true","0.1","374","100"
"237","0.001","0.1","100","true","0.1","1821","100"
"238","0.001","0.1","100","true","0.1","915","100"
"243","0.001","0.1","100","true","0.1","1365","100"
"223","0.001","0.1","100","true","0.1","1360","100"
"255","0.001","0.1","100","true","0.1","747","100"
"253","0.001","0.1","100","true","0.1","647","100"
"254","0.001","0.1","100","true","0.1","717","100"
"251","0.001","0.1","100","true","0.1","695","100"
"252","0.001","0.1","100","true","0.1","920","100"
"260","0.001","0.1","100","true","0.1","517","100"
"257","0.001","0.1","100","true","0.1","639","100"
"264","0.001","0.1","100","true","0.1","180","100"
"258","0.001","0.1","100","true","0.1","675","100"
"256","0.001","0.1","100","true","0.1","1026","100"
"259","0.001","0.1","100","true","0.1","256","100"
"244","0.001","0.1","100","true","0.1","1490","100"
"262","0.001","0.1","100","true","0.1","711","100"
"263","0.001","0.1","100","true","0.1","814","100"
"267","0.001","0.1","100","true","0.1","398","100"
"265","0.001","0.1","100","true","0.1","591","100"
"269","0.001","0.1","100","true","0.1","452","100"
"268","0.001","0.1","100","true","0.1","1035","100"
"266","0.001","0.1","100","true","0.1","1055","100"
"273","0.001","0.1","100","true","0.1","570","100"
"249","0.001","0.1","100","true","0.1","1016","100"
"276","0.001","0.1","100","true","0.1","554","100"
"271","0.001","0.1","100","true","0.1","1014","100"
"261","0.001","0.1","100","true","0.1","2095","100"
"272","0.001","0.1","100","true","0.1","1098","100"
"282","0.001","0.1","100","true","0.1","238","100"
"275","0.001","0.1","100","true","0.1","1434","100"
"278","0.001","0.1","100","true","0.1","561","100"
"281","0.001","0.1","100","true","0.1","564","100"
"277","0.001","0.1","100","true","0.1","898","100"
"1","0.001","0.001","100","true","0.1","29","100"
"279","0.001","0.1","100","true","0.1","1118","100"
"284","0.001","0.1","100","true","0.1","630","100"
"274","0.001","0.1","100","true","0.1","979","100"
"283","0.001","0.1","100","true","0.1","782","100"
"286","0.001","0.1","100","true","0.1","824","100"
"287","0.001","0.1","100","true","0.1","688","100"
"291","0.001","0.1","100","true","0.1","463","100"
"285","0.001","0.1","100","true","0.1","804","100"
"295","0.001","0.1","100","true","0.1","275","100"
"293","0.001","0.1","100","true","0.1","869","100"
"296","0.001","0.1","100","true","0.1","1154","100"
"289","0.001","0.1","100","true","0.1","458","100"
"297","0.001","0.1","100","true","0.1","1458","100"
"288","0.001","0.1","100","true","0.1","802","100"
"292","0.001","0.1","100","true","0.1","810","100"
"270","0.001","0.1","100","true","0.1","1384","100"
"280","0.001","0.1","100","true","0.1","983","100"
"299","0.001","0.1","100","true","0.1","1433","100"
"301","0.001","1","100","true","0.1","684","100"
"294","0.001","0.1","100","true","0.1","1016","100"
"300","0.001","0.1","100","true","0.1","1148","100"
"303","0.001","1","100","true","0.1","771","100"
"311","0.001","1","100","true","0.1","401","100"
"304","0.001","1","100","true","0.1","796","100"
"305","0.001","1","100","true","0.1","650","100"
"302","0.001","1","100","true","0.1","775","100"
